Date,FarmID,Temperature,Humidity,GrowthRate,BehaviorScore,MortalityRate,WelfareScore
2024-01-01,3,26.878338511058235,77.24797657899961,1.2944488920695858,6,0.0777137076493912,5.222862923506088
2024-01-02,4,26.575811509965373,57.186856720009175,1.3850977286019253,5,0.08124211393532638,4.187578860646736
2024-01-03,1,27.704251988058807,54.346846162736696,1.851136671516857,9,0.08106563285150985,8.189343671484902
2024-01-04,3,27.987972185917744,64.68358280832689,1.3169220051562776,9,0.018208549274382133,8.817914507256178
2024-01-05,3,27.24991219354598,79.56951362331802,1.1694927466860925,8,0.05449782742323234,7.4550217257676765
2024-01-06,4,28.978629548729522,57.26165814534501,1.5568012624583503,6,0.015180288401497986,5.848197115985021
2024-01-07,1,26.057174095485667,70.16406642217636,1.936154774160781,5,0.059457599409136204,4.405424005908638
2024-01-08,1,26.874726380779606,72.84858845986153,1.696029796674973,8,0.04973774512360394,7.502622548763961
2024-01-09,3,26.63130421305271,57.12912631977199,1.570061170089365,7,0.08989337644824698,6.10106623551753
2024-01-10,2,28.080069194824347,71.84649045835579,1.0971764937707684,8,0.041582351129687084,7.584176488703129
2024-01-11,3,28.627588919009604,61.03349398157759,1.6150072266991697,8,0.02053603147848453,7.794639685215155
2024-01-12,3,28.415523146017776,68.96917491780738,1.9900538501042633,6,0.022869251384755228,5.771307486152447
2024-01-13,3,30.863110013380307,69.00589132282684,1.140084015236524,7,0.0785359568545725,6.214640431454275
2024-01-14,3,29.1520174003477,66.07324052224276,1.5183296523637368,8,0.0656396256984635,7.343603743015365
2024-01-15,4,28.98279588036723,52.70869310163225,1.8773730719279556,5,0.019101040851051125,4.808989591489489
2024-01-16,1,30.119891542037657,75.05907486767714,1.7407686177542043,5,0.01756961255034977,4.824303874496502
2024-01-17,4,28.558033595814088,59.623401949152075,1.697015740995268,9,0.0730872218313208,8.269127781686793
2024-01-18,4,31.2031246189312,55.595555311995625,1.7024840839871094,7,0.016548670572777417,6.8345132942722255
2024-01-19,4,28.24730978412375,51.22325424664292,1.3594911512197552,7,0.08396740533613206,6.16032594663868
2024-01-20,3,31.806605588019778,67.72678829564725,1.2935918442644934,9,0.07356180044408465,8.264381995559154
2024-01-21,2,30.813983170759972,70.32693085526847,1.8093611554785136,8,0.01732139025777098,7.82678609742229
2024-01-22,1,28.34302270290928,50.497634867835686,1.8101133946791808,7,0.017635394267667272,6.8236460573233275
2024-01-23,2,27.352215487416604,65.36279174897842,1.8670723185801037,5,0.0987975620651058,4.012024379348942
2024-01-24,4,30.334725474071018,56.79487325593814,1.9132405525564713,5,0.04368437161805083,4.563156283819492
2024-01-25,4,29.60617724716176,69.35518371228349,1.5113423988609378,6,0.04335779323602019,5.566422067639798
2024-01-26,2,29.36642372957451,55.23099287014974,1.5015162946871996,7,0.08315196105317524,6.168480389468248
2024-01-27,2,29.17587631784681,70.72813214307398,1.7982951789667752,8,0.09525237196454729,7.047476280354527
2024-01-28,2,25.99938269421435,61.602060389016124,1.6499639307777652,9,0.09874009574405838,8.012599042559415
2024-01-29,4,26.724995522814144,78.10189966210203,1.7019668772577035,9,0.07780403667330475,8.221959633266952
2024-01-30,4,25.321788516402158,54.1256283243798,1.795792669436101,8,0.043863362697782425,7.561366373022175
2024-01-31,1,27.861076487709525,60.231990531507755,1.8900053418175662,6,0.01751506450288019,5.824849354971198
2024-02-01,1,26.439448729112286,53.40420563721767,1.3379951568515358,9,0.07994322243346931,8.200567775665307
2024-02-02,4,24.79887231593151,77.74080854835688,1.375582952639944,7,0.06025638247622246,6.397436175237775
